country_vote,amount
thailand,4802
philippines,3499
indonesia,3318
dominica,3204
nicaragua,3166
ukraine,2419
honduras,2203
peru,1803
colombia,1748
costa rica,1134
canada,1110
portugal,999
india,946
dominican republic,702
spain,517
myanmar,385
vietnam,348
haiti,334
curaçao,236
puerto rico,221
el salvador,220
australia,194
cambodia,193
mexico,172
kyrgyzstan,165
brazil,126
guatemala,126
jamaica,125
ecuador,121
angola,103
italy,98
south africa,85
turkey,77
france,59
germany,57
chile,51
nepal,50
china,47
united states,41
cameroon,39
lao,36
nigeria,34
panama,31
paraguay,31
trinidad and tobago,30
ghana,28
bahrain,28
niger,20
equatorial guinea,20
malaysia,18
japan,18
argentina,17
singapore,17
poland,16
lebanon,16
greece,14
namibia,13
aruba,13
egypt,12
oman,10
bhutan,9
iceland,9
armenia,8
guinea,8
mauritius,8
malta,8
belize,7
belgium,7
cuba,7
saint lucia,7
timor-leste,7
chad,6
netherlands,5
norway,5
russian federation,4
austria,4
albania,4
finland,4
switzerland,2
afghanistan,2
zimbabwe,2
bulgaria,2
ethiopia,2
ireland,2
sweden,1
bahamas,1
vanuatu,1
belarus,1
united kingdom,1
burkina faso,1
croatia,1
greenland,1
hong kong,1
pakistan,1
nauru,1
slovakia,1
israel,1
senegal,1
jordan,1
mali,1
qatar,1
puertorico,1
mongolia,1
morocco,1
hungary,1
